dev,name,batch_size,_compile,OutputGraph.call_user_compiler
cuda,BERT_pytorch,32,1.955725,0.000175
cuda,Background_Matting,1,1.154323,0.000127
cuda,LearningToPaint,256,0.545576,0.000065
cuda,Super_SloMo,8,1.686389,0.000130
cuda,alexnet,1024,1.050131,0.000044
cuda,dcgan,1024,0.238225,0.000039
cuda,demucs,32,0.627981,0.000128
cuda,densenet121,64,3.278773,0.000139
cuda,BERT_pytorch,32,1.920708,0.000260
cuda,Background_Matting,1,1.075193,0.000094
cuda,LearningToPaint,256,0.527153,0.000054
cuda,Super_SloMo,8,1.479684,0.000132
cuda,alexnet,1024,1.423524,0.000051
cuda,dcgan,1024,0.342878,0.000038
cuda,demucs,32,0.433248,0.000149
cuda,densenet121,64,2.500590,0.000168
cuda,dlrm,1,0.357491,0.000055
cuda,fastNLP_Bert,16,3.112932,0.000233
cuda,hf_Albert,16,2.063830,0.000142
cuda,hf_Bart,8,3.582093,0.000554
cuda,hf_Bert,8,3.623765,0.000153
cuda,hf_BigBird,4,9.346900,0.002352
cuda,hf_DistilBert,16,1.731526,0.000092
cuda,hf_GPT2,16,3.536147,0.000221
cuda,hf_Longformer,4,6.800681,0.004205
cuda,hf_Reformer,8,2.791981,0.001169
cuda,hf_T5,4,4.363533,0.001075
cuda,maml,1,1.528782,0.000432
cuda,maml_omniglot,32,0.230313,0.000046
cuda,mnasnet1_0,128,1.579529,0.000079
cuda,mobilenet_v2,128,1.000360,0.000080
cuda,mobilenet_v3_large,128,1.184125,0.000116
cuda,moco,64,22.772804,0.646801
cuda,nvidia_deeprecommender,512,0.254694,0.000043
cuda,opacus_cifar10,512,3.239431,0.000058
cuda,pyhpc_equation_of_state,1048576,0.473856,0.000109
cuda,pyhpc_isoneutral_mixing,1048576,1.127270,0.000196
cuda,pyhpc_turbulent_kinetic_energy,1048576,1.150138,0.000237
cuda,pytorch_CycleGAN_and_pix2pix,1,0.505815,0.000061
cuda,pytorch_stargan,16,0.987036,0.000062
cuda,pytorch_unet,4,0.634286,0.000059
cuda,resnet18,256,1.146017,0.000059
cuda,resnet50,64,1.149139,0.000083
cuda,resnext50_32x4d,64,1.034976,0.000081
cuda,shufflenet_v2_x1_0,128,1.157106,0.000098
cuda,speech_transformer,1,2.123538,0.000426
cuda,squeezenet1_1,256,0.348654,0.000051
