dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,AlbertForMaskedLM,4,0.9996,126.1077,1.8782,1.0730,2.4659,2.2982,436,4,3,2
cuda,AlbertForQuestionAnswering,4,1.0011,125.2645,2.1862,1.0732,2.4615,2.2938,436,4,3,2
cuda,AllenaiLongformerBase,4,0.9873,50.7484,7.7099,0.6108,2.8678,4.6949,1709,160,128,7
cuda,BartForCausalLM,4,0.9945,44.1483,3.4604,0.9074,4.1091,4.5285,482,14,7,5
cuda,BartForConditionalGeneration,2,0.9731,49.1035,4.9295,1.0021,4.0997,4.0913,1258,1,0,0
cuda,BertForMaskedLM,16,0.9725,44.7708,3.1897,0.9914,2.9137,2.9389,366,3,3,1
cuda,BertForQuestionAnswering,16,0.9651,36.5494,3.4752,1.0740,1.4611,1.3604,373,3,3,1
cuda,BlenderbotForCausalLM,4,0.9960,24.8506,4.8489,0.9883,21.0378,21.2875,934,26,7,5
cuda,BlenderbotSmallForCausalLM,64,0.9957,23.2355,1.6497,0.9344,4.0652,4.3504,327,10,7,5
cuda,BlenderbotSmallForConditionalGeneration,64,0.9783,41.2269,2.9142,1.0042,4.0179,4.0011,840,1,0,0
cuda,CamemBert,16,0.9733,45.2845,5.0924,0.9917,3.0189,3.0440,373,3,3,1
cuda,DebertaForMaskedLM,4,0.8141,20.0278,3.9829,0.9569,1.8385,1.9214,712,53,47,8
cuda,DebertaForQuestionAnswering,8,0.9950,23.2571,4.0103,0.9300,1.5323,1.6477,719,53,47,8
cuda,DebertaV2ForMaskedLM,1,0.6737,32.0236,9.8414,0.9996,7.5764,7.5798,917,101,83,8
cuda,DebertaV2ForQuestionAnswering,2,0.9604,29.1637,7.2284,1.0008,7.3506,7.3448,924,101,83,8
cuda,DistilBertForMaskedLM,128,0.9892,41.1344,3.1990,1.0111,4.5996,4.5492,206,1,0,0
cuda,DistilBertForQuestionAnswering,256,0.9905,46.9470,1.0372,1.1397,1.6514,1.4490,214,1,0,0
cuda,DistillGPT2,16,0.9817,41.0976,1.4956,1.0041,6.0923,6.0671,336,1,0,0
cuda,ElectraForCausalLM,32,0.9634,34.1754,3.2290,0.9946,6.1280,6.1616,371,5,6,3
cuda,ElectraForQuestionAnswering,64,0.9676,39.8067,3.2598,1.1778,0.8889,0.7547,374,3,3,1
cuda,GPT2ForSequenceClassification,4,0.9573,34.2576,2.6229,1.0149,1.9315,1.9032,656,1,0,0
cuda,GoogleFnet,16,0.9989,37.0985,1.6589,0.9911,2.8013,2.8265,209,28,41,4
cuda,LayoutLMForMaskedLM,16,0.9935,44.5925,3.0070,0.9915,2.9424,2.9677,393,5,4,2
cuda,LayoutLMForSequenceClassification,16,0.9906,36.3676,3.0419,1.0533,1.4913,1.4159,391,5,4,2
cuda,M2M100ForConditionalGeneration,16,0.9878,33.8446,6.2484,0.9362,6.4151,6.8523,1266,19,13,4
cuda,MBartForCausalLM,4,0.9951,44.2732,2.0435,0.9074,4.1091,4.5286,481,14,7,5
cuda,MBartForConditionalGeneration,2,0.9741,49.1574,4.2221,1.0021,4.0997,4.0913,1263,1,0,0
cuda,MT5ForConditionalGeneration,16,0.9624,30.8026,5.1557,0.9797,6.6325,6.7699,1163,7,7,1
cuda,MegatronBertForCausalLM,4,0.9310,34.1491,6.5810,0.9975,3.4016,3.4100,717,3,3,1
cuda,MegatronBertForQuestionAnswering,8,0.9557,55.7403,8.9780,1.0281,3.0731,2.9892,720,3,3,1
cuda,MobileBertForMaskedLM,64,0.8168,46.3512,24.7707,0.9928,2.3190,2.3358,1443,3,3,1
cuda,MobileBertForQuestionAnswering,128,0.7761,50.0229,26.3332,1.7290,0.6168,0.3567,1447,3,3,1
cuda,OPTForCausalLM,2,0.9984,61.0565,1.9803,0.9236,3.8025,4.1171,533,14,7,5
cuda,PLBartForCausalLM,8,0.9953,46.0851,2.3808,0.9305,4.3810,4.7081,254,8,7,5
cuda,PLBartForConditionalGeneration,4,0.9910,37.3519,3.4573,0.9045,3.1001,3.4273,658,10,10,4
cuda,PegasusForCausalLM,32,0.9932,27.5924,1.9917,0.9070,4.1091,4.5306,478,16,8,5
cuda,PegasusForConditionalGeneration,32,0.9827,55.3945,5.2290,0.9933,4.9413,4.9749,1244,7,11,3
cuda,RobertaForCausalLM,16,0.9727,46.4083,3.2399,0.9936,3.9099,3.9351,377,3,3,1
cuda,RobertaForQuestionAnswering,16,0.9662,36.6321,3.2435,1.0740,1.4611,1.3604,380,3,3,1
cuda,Speech2Text2ForCausalLM,256,0.9894,24.3637,2.5743,0.8748,3.1661,3.6191,261,10,8,5
cuda,T5ForConditionalGeneration,4,0.9815,34.8687,3.7412,0.8829,1.7720,2.0069,788,7,7,1
cuda,T5Small,4,0.9827,34.9014,3.7662,0.8829,1.7720,2.0069,788,7,7,1
cuda,TrOCRForCausalLM,32,0.9983,56.8343,3.3897,0.8803,6.1703,7.0092,481,14,7,5
cuda,XGLMForCausalLM,8,0.9275,27.0770,4.2899,0.9702,6.8438,7.0540,998,28,8,5
cuda,XLNetLMHeadModel,8,0.9974,157.6172,6.8351,0.9123,4.3612,4.7806,763,28,8,5
cuda,YituTechConvBert,16,0.9751,57.1068,4.4926,0.9748,2.9213,2.9968,630,5,6,3
