dev,name,batch_size,_compile,OutputGraph.call_user_compiler
cuda,BERT_pytorch,32,2.704232,0.000197
cuda,Background_Matting,1,1.058479,0.000090
cuda,LearningToPaint,256,0.527244,0.000063
cuda,Super_SloMo,8,1.473046,0.000125
cuda,alexnet,1024,0.235528,0.000056
cuda,dcgan,1024,0.335542,0.000038
cuda,demucs,32,0.426769,0.000118
cuda,densenet121,64,2.478231,0.000141
cuda,BERT_pytorch,32,1.963624,0.000184
cuda,Background_Matting,1,1.057199,0.000087
cuda,LearningToPaint,256,0.535488,0.000057
cuda,Super_SloMo,8,1.452425,0.000128
cuda,alexnet,1024,1.339159,0.000045
cuda,dcgan,1024,0.231191,0.000038
cuda,demucs,32,0.414573,0.000115
cuda,densenet121,64,2.521757,0.000141
cuda,dlrm,1,0.306858,0.000051
cuda,fastNLP_Bert,16,2.067924,0.000250
cuda,hf_Albert,16,2.033940,0.000211
cuda,hf_Bart,8,3.794288,0.000605
cuda,hf_Bert,8,3.454806,0.000172
cuda,hf_BigBird,4,9.058638,0.002223
cuda,hf_DistilBert,16,1.743122,0.000099
cuda,hf_GPT2,16,3.933076,0.000211
cuda,hf_Longformer,4,7.815597,0.004228
cuda,hf_Reformer,8,3.497737,0.000299
cuda,hf_T5,4,4.230519,0.001213
cuda,maml,1,1.540850,0.000447
cuda,maml_omniglot,32,0.222685,0.000040
cuda,mnasnet1_0,128,1.004097,0.000075
cuda,mobilenet_v2,128,1.008302,0.000078
cuda,mobilenet_v3_large,128,1.060361,0.000079
cuda,moco,64,23.746385,0.636738
cuda,nvidia_deeprecommender,512,0.249290,0.000040
cuda,opacus_cifar10,512,2.798480,0.000074
cuda,pyhpc_equation_of_state,1048576,0.641376,0.000115
cuda,pyhpc_isoneutral_mixing,1048576,1.136665,0.000202
cuda,pyhpc_turbulent_kinetic_energy,1048576,1.206886,0.000278
cuda,pytorch_CycleGAN_and_pix2pix,1,0.504604,0.000082
cuda,pytorch_stargan,16,0.511058,0.000059
cuda,pytorch_unet,4,0.764932,0.000056
cuda,resnet18,256,0.556931,0.000051
cuda,resnet50,64,1.078585,0.000076
cuda,resnext50_32x4d,64,1.903460,0.000075
cuda,shufflenet_v2_x1_0,128,1.149144,0.000099
cuda,speech_transformer,1,2.011835,0.000424
cuda,squeezenet1_1,256,0.342096,0.000052
cuda,tacotron2,128,615.114825,0.076977
cuda,timm_efficientnet,128,2.135434,0.000152
cuda,timm_nfnet,128,3.345175,0.000234
cuda,timm_regnet,32,4.914598,0.000243
