dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,adv_inception_v3,128,1.3604,43.9736,16.1939,0.9471,2.6032,2.7487,313,1,0,0
cuda,beit_base_patch16_224,64,0.9892,43.9148,13.4244,0.8072,1.2602,1.5612,468,1,0,0
cuda,botnet26t_256,128,1.4773,28.7688,20.0649,1.0781,2.1907,2.0319,305,1,0,0
cuda,cait_m36_384,4,1.6014,51.8996,31.9885,0.9340,2.5012,2.6779,1341,1,0,0
cuda,coat_lite_mini,128,1.4769,27.9267,45.0147,1.0754,2.2074,2.0527,459,1,0,0
cuda,convit_base,64,1.3537,48.6385,12.5295,0.9464,1.7252,1.8229,497,1,0,0
cuda,convmixer_768_32,32,1.2496,82.6349,10.5533,1.3296,0.6206,0.4667,230,1,0,0
cuda,convnext_base,64,1.3371,68.1877,14.5329,1.2874,2.7139,2.1080,494,1,0,0
cuda,crossvit_9_240,128,1.2435,24.0715,23.3062,0.5857,1.0968,1.8724,599,1,0,0
cuda,cspdarknet53,64,1.2637,26.4326,12.7565,1.2103,2.7506,2.2727,371,1,0,0
cuda,deit_base_distilled_patch16_224,64,1.0914,37.8576,8.8833,0.7967,1.2637,1.5862,376,1,0,0
cuda,dla102,128,1.4349,48.6637,13.0134,0.9641,2.0702,2.1473,415,1,0,0
cuda,dm_nfnet_f0,128,1.7636,65.5954,19.5034,1.5319,4.3214,2.8209,615,1,0,0
cuda,dpn107,32,1.2438,45.2326,19.8249,0.9279,1.5576,1.6787,631,1,0,0
cuda,eca_botnext26ts_256,128,1.4775,28.3674,14.2358,1.0787,2.1744,2.0157,335,1,0,0
cuda,eca_halonext26ts,128,1.4588,29.7043,17.7797,1.0787,2.1757,2.0171,359,1,0,0
cuda,ese_vovnet19b_dw,128,1.2934,19.1318,13.3919,1.4837,2.4778,1.6700,133,1,0,0
cuda,fbnetc_100,128,1.2542,19.9927,13.6406,1.5444,1.6490,1.0677,314,1,0,0
cuda,fbnetv3_b,128,1.2313,31.8983,18.0767,1.5301,1.6217,1.0599,519,1,0,0
cuda,gernet_l,128,1.2880,29.0517,10.3317,0.9336,1.5356,1.6448,348,1,0,0
cuda,ghostnet_100,128,1.3302,12.2063,14.7940,1.0169,1.0312,1.0141,323,1,0,0
cuda,gluon_inception_v3,128,1.3602,43.9642,13.7650,0.9471,2.6032,2.7487,313,1,0,0
cuda,gluon_xception65,32,1.1686,42.4482,14.8587,1.4005,1.7863,1.2755,352,1,0,0
cuda,gmixer_24_224,128,1.3765,34.5556,14.6736,0.6674,0.8314,1.2458,631,1,0,0
cuda,gmlp_s16_224,128,1.7394,31.7426,15.4037,0.7311,0.7867,1.0760,487,1,0,0
cuda,hrnet_w18,128,1.3271,65.3441,34.7722,1.1291,1.6724,1.4812,1369,1,0,0
cuda,inception_v3,128,1.3581,43.9909,12.4530,0.9471,2.6032,2.7487,313,1,0,0
cuda,jx_nest_base,32,1.3682,30.1588,33.7206,0.7848,1.5883,2.0239,674,1,0,0
cuda,lcnet_050,128,1.1275,4.3054,12.2876,0.9409,0.4945,0.5256,137,1,0,0
cuda,levit_128,128,1.2742,8.3565,34.5857,0.6249,0.5538,0.8863,565,1,0,0
cuda,mixer_b16_224,128,1.1451,50.0622,9.3759,0.8569,1.5693,1.8314,223,1,0,0
cuda,mixnet_l,128,1.2496,48.0145,16.4881,1.1172,3.1013,2.7758,615,1,0,0
cuda,mnasnet_100,128,1.2655,15.7827,9.0399,1.6143,1.1251,0.6969,248,1,0,0
cuda,mobilenetv2_100,128,1.3409,14.3746,9.3454,1.6528,1.7346,1.0495,248,1,0,0
cuda,mobilenetv3_large_100,128,1.2818,12.3966,12.4953,1.5298,1.2364,0.8082,265,1,0,0
cuda,mobilevit_s,64,1.2432,22.0607,65.8817,1.0235,1.4292,1.3964,483,1,0,0
cuda,nfnet_l0,128,1.5535,67.0662,20.7650,1.3246,3.6039,2.7208,546,1,0,0
cuda,pit_b_224,64,1.1459,46.9524,10.7936,0.8608,3.0217,3.5103,422,1,0,0
cuda,pnasnet5large,16,1.2385,64.5654,33.3721,1.3534,2.0711,1.5303,953,1,0,0
cuda,poolformer_m36,64,1.5689,42.8256,38.3710,1.1622,1.4621,1.2580,695,1,0,0
cuda,regnety_002,128,1.1947,7.9192,11.8017,0.9011,0.7823,0.8681,320,1,0,0
cuda,repvgg_a2,128,1.3486,25.8979,10.8490,1.0105,1.6246,1.6076,332,1,0,0
cuda,res2net101_26w_4s,64,1.4185,32.6568,19.9672,1.0710,1.2888,1.2034,803,1,0,0
cuda,res2net50_14w_8s,128,1.4597,40.8283,19.2580,1.1395,2.0634,1.8107,699,1,0,0
cuda,res2next50,128,1.4594,42.6982,11.6715,1.1334,2.1104,1.8621,395,1,0,0
cuda,resmlp_12_224,128,1.2650,16.9634,10.8040,0.7721,0.7565,0.9799,199,1,0,0
cuda,resnest101e,64,1.5395,43.9643,25.7182,0.9259,1.5748,1.7008,1018,1,0,0
cuda,rexnet_100,128,1.3018,20.0578,15.8939,1.6467,1.7446,1.0595,351,1,0,0
cuda,sebotnet33ts_256,64,1.7069,19.9027,18.3301,1.3740,4.2824,3.1168,422,1,0,0
cuda,selecsls42b,128,1.2704,18.7319,9.7396,1.4298,1.6617,1.1621,132,1,0,0
cuda,spnasnet_100,128,1.2711,16.6868,9.4961,1.6144,1.1249,0.6968,308,1,0,0
cuda,swin_base_patch4_window7_224,64,1.1335,65.4139,34.2869,0.8830,2.3423,2.6525,1194,1,0,0
cuda,swsl_resnext101_32x16d,32,1.2380,55.4723,12.6547,0.9992,2.5639,2.5660,411,1,0,0
cuda,tf_efficientnet_b0,128,1.3140,22.8704,12.2170,1.2451,1.9141,1.5373,318,1,0,0
cuda,tf_mixnet_l,128,1.2772,48.7513,17.1619,1.1172,3.1013,2.7758,630,1,0,0
cuda,tinynet_a,128,1.2861,18.3990,13.2716,1.5509,1.3043,0.8410,373,1,0,0
cuda,tnt_s_patch16_224,128,1.4197,104.9936,20.3723,0.4363,0.9080,2.0811,822,1,0,0
cuda,twins_pcpvt_base,64,1.1550,34.4791,57.1628,0.8882,1.4170,1.5954,1018,1,0,0
cuda,visformer_small,128,1.0742,39.3548,9.7364,0.8474,1.3376,1.5783,313,1,0,0
cuda,vit_base_patch16_224,64,1.0858,37.7961,7.6999,0.7965,1.2509,1.5704,373,1,0,0
cuda,volo_d1_224,64,1.5549,32.4600,19.4775,0.9076,0.9181,1.0115,614,1,0,0
cuda,xcit_large_24_p8_224,5,1.5389,22.8415,24.8337,0.8737,1.6966,1.9418,1191,1,0,0
