dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,adv_inception_v3,128,1.0684,55.9565,66.3378,1.0003,2.6032,2.6025,313,1,0,0
cuda,beit_base_patch16_224,64,0.9187,47.3288,17.7219,1.0874,1.2602,1.1589,468,1,0,0
cuda,botnet26t_256,128,1.3542,31.3912,33.7951,1.1393,2.1907,1.9228,305,1,0,0
cuda,cait_m36_384,4,1.0921,76.0602,57.5167,0.9801,2.5012,2.5519,1341,1,0,0
cuda,coat_lite_mini,128,1.1780,34.9429,25.9493,1.1027,2.2074,2.0018,459,1,0,0
cuda,convit_base,0,0.0000
cuda,convmixer_768_32,32,1.1569,89.3003,43.9535,1.1936,0.6206,0.5199,230,1,0,0
cuda,convnext_base,64,0.9488,96.0895,26.0420,1.1431,2.7139,2.3742,494,1,0,0
cuda,crossvit_9_240,128,0.5717,52.4077,42.0982,0.5119,1.0968,2.1425,599,1,0,0
cuda,cspdarknet53,64,1.1483,29.1005,54.8192,1.6402,2.7506,1.6770,371,1,0,0
cuda,deit_base_distilled_patch16_224,64,1.0108,40.8483,15.7925,1.1104,1.2637,1.1380,376,1,0,0
cuda,dla102,128,1.2868,54.2977,72.4285,1.0000,2.0702,2.0702,415,1,0,0
cuda,dm_nfnet_f0,0,0.0000
cuda,dpn107,32,1.0658,52.7671,91.0353,1.1611,1.5576,1.3415,631,1,0,0
cuda,eca_botnext26ts_256,128,1.3430,31.2617,35.8526,1.1405,2.1744,1.9065,335,1,0,0
cuda,eca_halonext26ts,128,1.3229,32.7846,38.3422,1.1404,2.1757,1.9078,359,1,0,0
cuda,ese_vovnet19b_dw,128,1.1509,21.5175,21.7116,1.4965,2.4778,1.6557,133,1,0,0
cuda,fbnetc_100,128,1.1225,22.3676,50.6213,1.1424,1.6490,1.4435,314,1,0,0
cuda,fbnetv3_b,128,1.1008,35.6700,95.4148,1.1984,1.6217,1.3533,519,1,0,0
cuda,gernet_l,128,1.1833,31.6650,42.7619,1.0000,1.5356,1.5356,348,1,0,0
cuda,ghostnet_100,128,0.8148,19.9822,69.1789,1.1932,1.0312,0.8643,323,1,0,0
cuda,gluon_inception_v3,128,1.0682,56.0945,67.4700,1.0003,2.6032,2.6025,313,1,0,0
cuda,gluon_xception65,32,1.0434,47.5089,90.4065,1.4492,1.7863,1.2326,352,1,0,0
cuda,gmixer_24_224,128,1.4085,33.8718,26.4401,1.3038,0.8314,0.6377,631,1,0,0
